id,sourcePort,destinationPort,distance
1090,Lahad Datu (LDU),Pontianak (POT),1130
1091,Lahad Datu (LDU),Sandakan (SAN),169
1092,Lahad Datu (LDU),Singapore (SG),1350
1093,Lahad Datu (LDU),Sungai Guntung (SGGT),1290
1094,Lahad Datu (LDU),Songkhla (SK),1400
1095,Lahad Datu (LDU),Sampit (SMQ),980
1096,Lahad Datu (LDU),Son Duong (SOD),1270
1097,Lahad Datu (LDU),Tacloban (TAC),630
1098,Lahad Datu (LDU),Tawau (TAW),150
1099,Lahad Datu (LDU),Terengganu (TGG),1195
1100,Lahad Datu (LDU),Tha Sala (TSL),1370
1101,Lahad Datu (LDU),Vung Tau (VUT),1090
1102,Lhokseumawe (LHOK),Godau port  (GDP),1180
1103,Lhokseumawe (LHOK),Phumy (PHU),1180
1104,Lhokseumawe (LHOK),Port Klang (PKL),350
1105,Lhokseumawe (LHOK),Vung Tau (VUT),1150
1106,Lumut (LUM),Bangpakong (BAK),1150
1107,Lumut (LUM),Bintulu (BIN),850
1108,Lumut (LUM),Bangkok (BK),1207
1109,Lumut (LUM),Bang Sapan (BS),1050
1110,Lumut (LUM),Cai Lan (CLN),1690
1111,Lumut (LUM),Godau port  (GDP),930
1112,Lumut (LUM),HO CHI MINH (HCM),904
1113,Lumut (LUM),K.K. Kota Kinabalu (KK),1071
1114,Lumut (LUM),Kemaman (KMN),516
1115,Lumut (LUM),Kuantan (KT),480
1116,Lumut (LUM),Kuching (KUC),700
1117,Lumut (LUM),Labuan (LBN),1005
1118,Lumut (LUM),Maptaphut (MAT),1100
1119,Lumut (LUM),Century Harbour (MHI),1200
1120,Lumut (LUM),Pasir Gudang (PAS),353
1121,Lumut (LUM),Port Klang (PKL),103
1122,Lumut (LUM),Sungai Guntung (SGGT),370
1123,Lumut (LUM),Songkhla (SK),760
1124,Lumut (LUM),Son Duong (SOD),1660
1125,Lumut (LUM),Tawau (TAW),1430
1126,Lumut (LUM),Terengganu (TGG),1587
1127,Lumut (LUM),TJM,768
1128,Lumut (LUM),Tha Sala (TSL),860
1129,Makassar (MAK),Bahodopi (BHDP),500
1130,Makassar (MAK),Bangkok (BK),1855
1131,Makassar (MAK),HO CHI MINH (HCM),1520
1132,Makassar (MAK),Haiphong (HPH),2045
1133,Malacca (MAL),Bahodopi (BHDP),1690
1134,Malacca (MAL),Bintulu (BIN),734
1135,Malacca (MAL),Bangkok (BK),986
1136,Malacca (MAL),Bang Sapan (BS),847
1137,Malacca (MAL),Dumai (DMI),85
1138,Malacca (MAL),Phuket (HKT),418
1139,Malacca (MAL),Jakarta (JAK),900
1140,Malacca (MAL),K.K. Kota Kinabalu (KK),917
1141,Malacca (MAL),Kedah (KKH),300
1142,Malacca (MAL),Kemaman (KMN),365
1143,Malacca (MAL),Ko Sichang (KSI),940
1144,Malacca (MAL),Kuantan (KT),350
1145,Malacca (MAL),Kantang (KTG),393
1146,Malacca (MAL),Kuching (KUC),583
1147,Malacca (MAL),Lahad Datu (LDU),1470
1148,Malacca (MAL),Century Harbour (MHI),995
1149,Malacca (MAL),Manila Habour (MNL),1480
1150,Malacca (MAL),My Tho (MUT),770
1151,Malacca (MAL),Nunukan (NNX),1380
1152,Malacca (MAL),Pasir Gudang (PAS),186
1153,Malacca (MAL),Port Klang (PKL),90
1154,Malacca (MAL),Palembang (PLB),446
1155,Malacca (MAL),Penang (PNG),252
1156,Malacca (MAL),Panjang (PNJ),729
1157,Malacca (MAL),Pontianak (POT),500
1158,Malacca (MAL),Yangon (RGN),996
1159,Malacca (MAL),Singapore (SG),135
1160,Malacca (MAL),Sibu (SIB),657
1161,Malacca (MAL),Sipitang (SIP),880
1162,Malacca (MAL),Songkhla (SK),637
1163,Malacca (MAL),Sampit (SMQ),844
1164,Malacca (MAL),Sriracha Harbor (SRC),973
1165,Malacca (MAL),Semarang - Tanjung Emas (SRG),795
1166,Malacca (MAL),Sarawak (SRW),583
1167,Malacca (MAL),Tawau (TAW),1356
1168,Malacca (MAL),Terengganu (TGG),435
1169,Malacca (MAL),Tanjong Manis (TGM),602
1170,Malacca (MAL),Tanjung Batu (TJQ),490
1171,Malacca (MAL),Tha Sala (TSL),663
1172,MAP,KUM,1310
1173,MAP,Sungai Guntung (SGGT),900
1174,Maptaphut (MAT),Bahodopi (BHDP),2230
1175,Maptaphut (MAT),Bangkok (BK),123
1176,Maptaphut (MAT),Balikpapan (BPN),1756
1177,Maptaphut (MAT),Bang Sapan (BS),130
1178,Maptaphut (MAT),Cigading (CIG),1250
1179,Maptaphut (MAT),Cat Lai (CLI),605
1180,Maptaphut (MAT),Cam Pha (CPH),1392
1181,Maptaphut (MAT),Dumai (DMI),1070
1182,Maptaphut (MAT),Dung Quat (DQT),942
1183,Maptaphut (MAT),Futong (FTG),920
1184,Maptaphut (MAT),HO CHI MINH (HCM),611
1185,Maptaphut (MAT),Hon Gai (HON),1389
1186,Maptaphut (MAT),Haiphong (HPH),1310
1187,Maptaphut (MAT),Jakarta (JAK),1220
1188,Maptaphut (MAT),Kemaman (KMN),590
1189,Maptaphut (MAT),Ko Sichang (KSI),75
1190,Maptaphut (MAT),Kuantan (KT),617
1191,Maptaphut (MAT),Lahad Datu (LDU),1570
1192,Maptaphut (MAT),Lumut (LUM),1100
1193,Maptaphut (MAT),Century Harbour (MHI),96
1194,Maptaphut (MAT),Manila Habour (MNL),1386
1195,Maptaphut (MAT),Manila Habour (MNL),1435
1196,Maptaphut (MAT),My Tho (MUT),690
1197,Maptaphut (MAT),Nghi Son (NGH),1260
1198,Maptaphut (MAT),Nunukan (NNX),1460
1199,Maptaphut (MAT),Pasir Gudang (PAS),784
1200,Maptaphut (MAT),Phumy (PHU),615
1201,Maptaphut (MAT),Port Klang (PKL),980
1202,Maptaphut (MAT),Phnom Penh (PNH),733
1203,Maptaphut (MAT),Yangon (RGN),1874
1204,Maptaphut (MAT),Singapore (SG),765
1205,Maptaphut (MAT),Srihanoville (SIH),200
1206,Maptaphut (MAT),Songkhla (SK),332
1207,Maptaphut (MAT),Son Duong (SOD),1167
1208,Maptaphut (MAT),Semarang - Tanjung Emas (SRG),1365
1209,Maptaphut (MAT),Surat Thanee (SRT),235
1210,Maptaphut (MAT),Tacloban (TAC),1724
1211,Maptaphut (MAT),Terengganu (TGG),520
1212,Maptaphut (MAT),Tanjung Batu (TJQ),1045
1213,Maptaphut (MAT),Can Tho (VCA),520
1214,Maptaphut (MAT),Vung Tau (VUT),585
1215,Century Harbour (MHI),Bangpakong (BAK),65
1216,Century Harbour (MHI),Bahodopi (BHDP),2280
1217,Century Harbour (MHI),Bangkok (BK),60
1218,Century Harbour (MHI),Balikpapan (BPN),1805
1219,Century Harbour (MHI),Bang Sapan (BS),155
1220,Century Harbour (MHI),Bintan (BTN),864
1221,Century Harbour (MHI),Cat Lai (CLI),680
1222,Century Harbour (MHI),Danang (DAD),1126
1223,Century Harbour (MHI),Dumai (DMI),1029
1224,Century Harbour (MHI),Futong (FTG),990
1225,Century Harbour (MHI),Haiphong (HPH),1375
1226,Century Harbour (MHI),Khanom (KHM),271
1227,Century Harbour (MHI),K.K. Kota Kinabalu (KK),1395
1228,Century Harbour (MHI),Kedah (KKH),1250
1229,Century Harbour (MHI),Kemaman (KMN),645
1230,Century Harbour (MHI),Ko Sichang (KSI),45
1231,Century Harbour (MHI),Kuantan (KT),666
1232,Century Harbour (MHI),KUM,1350
1233,Century Harbour (MHI),Labuan (LBN),1080
1234,Century Harbour (MHI),Lahad Datu (LDU),1490
1235,Century Harbour (MHI),Lumut (LUM),1200
1236,Century Harbour (MHI),Malacca (MAL),995
1237,Century Harbour (MHI),Maptaphut (MAT),96
1238,Century Harbour (MHI),Maeklong (Firesun) (MKG),37
1239,Century Harbour (MHI),Manila Habour (MNL),1500
1240,Century Harbour (MHI),My Tho (MUT),760
1241,Century Harbour (MHI),Nghi Son (NGH),1370
1242,Century Harbour (MHI),Nunukan (NNX),1530
1243,Century Harbour (MHI),Pasir Gudang (PAS),857
1244,Century Harbour (MHI),Port Klang (PKL),1077
1245,Century Harbour (MHI),Penang (PNG),1256
1246,Century Harbour (MHI),Singapore (SG),840
1247,Century Harbour (MHI),Srihanoville (SIH),270
1248,Century Harbour (MHI),Songkhla (SK),392
1249,Century Harbour (MHI),Semarang - Tanjung Emas (SRG),1410
1250,Century Harbour (MHI),Surat Thanee (SRT),266
1251,Century Harbour (MHI),Tacloban (TAC),1780
1252,Century Harbour (MHI),Terengganu (TGG),540
1253,Century Harbour (MHI),Tanjung Batu (TJQ),1090
1254,Century Harbour (MHI),Can Tho (VCA),595
1255,Maeklong (Firesun) (MKG),Bangpakong (BAK),68
1256,Maeklong (Firesun) (MKG),Bangkok (BK),74
1257,Maeklong (Firesun) (MKG),Kemaman (KMN),638
1258,Maeklong (Firesun) (MKG),Ko Sichang (KSI),60
1259,Maeklong (Firesun) (MKG),Kuantan (KT),657
1260,Maeklong (Firesun) (MKG),Century Harbour (MHI),37
1261,Maeklong (Firesun) (MKG),Songkhla (SK),385
1262,Maeklong (Firesun) (MKG),Surat Thanee (SRT),265
1263,Maeklong (Firesun) (MKG),Tha Sala (TSL),289
1264,Manila Habour (MNL),Bangpakong (BAK),1540
1265,Manila Habour (MNL),Bintulu (BIN),910
1266,Manila Habour (MNL),Bangkok (BK),1935
1267,Manila Habour (MNL),Bangkok (BK),1590
1268,Manila Habour (MNL),Bourbon (BOUR),970
1269,Manila Habour (MNL),Bang Sapan (BS),1440
1270,Manila Habour (MNL),Godau port  (GDP),970
1271,Manila Habour (MNL),HO CHI MINH (HCM),940
1272,Manila Habour (MNL),Jakarta (JAK),1850
1273,Manila Habour (MNL),K.K. Kota Kinabalu (KK),650
1274,Manila Habour (MNL),Kemaman (KMN),1210
1275,Manila Habour (MNL),Kuantan (KT),1230
1276,Manila Habour (MNL),Kuching (KUC),1050
1277,Manila Habour (MNL),Labuan (LBN),735
1278,Manila Habour (MNL),Laem Chabang (LCB),1470
1279,Manila Habour (MNL),Malacca (MAL),1480
1280,Manila Habour (MNL),Maptaphut (MAT),1386
1281,Manila Habour (MNL),Maptaphut (MAT),1435
1282,Manila Habour (MNL),Century Harbour (MHI),1500
1283,Manila Habour (MNL),Pasir Gudang (PAS),1350
1284,Manila Habour (MNL),Port Klang (PKL),1565
1285,Manila Habour (MNL),Palembang (PLB),1550
1286,Manila Habour (MNL),Penang (PNG),1770
1287,Manila Habour (MNL),Panjang (PNJ),1935
1288,Manila Habour (MNL),Pontianak (POT),1245
1289,Manila Habour (MNL),Singapore (SG),1360
1290,Manila Habour (MNL),Sungai Guntung (SGGT),1390
1291,Manila Habour (MNL),Songkhla (SK),1290
1292,Manila Habour (MNL),Sampit (SMQ),1685
1293,Manila Habour (MNL),Son Duong (SOD),880
1294,Manila Habour (MNL),Tacloban (TAC),570
1295,Manila Habour (MNL),Tawau (TAW),815
1296,Manila Habour (MNL),Terengganu (TGG),1190
1297,Manila Habour (MNL),Tha Sala (TSL),1340
1298,Manila Habour (MNL),Vung Tau (VUT),920
1299,Marunda (MRD),Bangkok (BK),1321
1300,Marunda (MRD),Kuantan (KT),684
1301,Muara (MUR),Bintulu (BIN),220
1302,Muara (MUR),Bangkok (BK),1249
1303,Muara (MUR),Bang Sapan (BS),1106
1304,Muara (MUR),K.K. Kota Kinabalu (KK),103
1305,Muara (MUR),Kemaman (KMN),732
1306,Muara (MUR),Kuantan (KT),732
1307,Muara (MUR),Kuching (KUC),390
1308,Muara (MUR),Labuan (LBN),19
1309,Muara (MUR),Pasir Gudang (PAS),741
1310,Muara (MUR),Songkhla (SK),919
1311,Muara (MUR),Sriracha Harbor (SRC),1202
1312,Muara (MUR),Surat Thanee (SRT),1046
1313,Muara (MUR),Tawau (TAW),543
1314,Muara (MUR),Tanjong Manis (TGM),365
1315,My Tho (MUT),Bangpakong (BAK),760
1316,My Tho (MUT),Bintulu (BIN),600
1317,My Tho (MUT),Bangkok (BK),765
1318,My Tho (MUT),Bourbon (BOUR),90
1319,My Tho (MUT),Bang Sapan (BS),690
1320,My Tho (MUT),Godau port  (GDP),90
1321,My Tho (MUT),HO CHI MINH (HCM),100
1322,My Tho (MUT),Jakarta (JAK),1140
1323,My Tho (MUT),K.K. Kota Kinabalu (KK),650
1324,My Tho (MUT),Kemaman (KMN),500
1325,My Tho (MUT),Kuantan (KT),520
1326,My Tho (MUT),Kuching (KUC),610
1327,My Tho (MUT),Labuan (LBN),630
1328,My Tho (MUT),Malacca (MAL),770
1329,My Tho (MUT),Maptaphut (MAT),690
1330,My Tho (MUT),Century Harbour (MHI),760
1331,My Tho (MUT),Pasir Gudang (PAS),820
1332,My Tho (MUT),Port Klang (PKL),840
1333,My Tho (MUT),Palembang (PLB),860
1334,My Tho (MUT),Panjang (PNJ),1100
1335,My Tho (MUT),Pontianak (POT),710
1336,My Tho (MUT),Singapore (SG),645
1337,My Tho (MUT),Sungai Guntung (SGGT),710
1338,My Tho (MUT),Songkhla (SK),550
1339,My Tho (MUT),Sampit (SMQ),1240
1340,My Tho (MUT),Son Duong (SOD),715
1341,My Tho (MUT),Tawau (TAW),1020
1342,My Tho (MUT),Terengganu (TGG),450
1343,My Tho (MUT),Tha Sala (TSL),590
1344,My Tho (MUT),Vung Tau (VUT),60
1345,Narathiwat (NAW),Rayong (IRPC),375
1346,Narathiwat (NAW),Songkhla (SK),110
1347,Ningde (NDE),Beihai (BHY),930
1348,Ningde (NDE),Bangkok (BK),2090
1349,Ningde (NDE),Chittagong (CTG),3570
1350,Ningde (NDE),Dhaka (DKA),3670
1351,Ningde (NDE),Mawei Fuzhou (FOC),140
1352,Ningde (NDE),Hong Kong (HKG),570
1353,Ningde (NDE),Pusan (PUS),790
1354,Nghi Son (NGH),Bintulu (BIN),1238
1355,Nghi Son (NGH),Bangkok (BK),1356
1356,Nghi Son (NGH),Bang Sapan (BS),1352
1357,Nghi Son (NGH),Godau port  (GDP),780
1358,Nghi Son (NGH),HO CHI MINH (HCM),820
1359,Nghi Son (NGH),K.K. Kota Kinabalu (KK),1040
1360,Nghi Son (NGH),Kemaman (KMN),1100
1361,Nghi Son (NGH),Kuantan (KT),1180
1362,Nghi Son (NGH),Kuching (KUC),1137
1363,Nghi Son (NGH),Labuan (LBN),1034
1364,Nghi Son (NGH),Maptaphut (MAT),1260
1365,Nghi Son (NGH),Century Harbour (MHI),1370
1366,Nghi Son (NGH),Pasir Gudang (PAS),1310
1367,Nghi Son (NGH),Port Klang (PKL),1512
1368,Nghi Son (NGH),Songkhla (SK),1170
1369,Nghi Son (NGH),Son Duong (SOD),100
1370,Nghi Son (NGH),Tawau (TAW),1360
1371,Nghi Son (NGH),TJM,1105
1372,Nghi Son (NGH),Tha Sala (TSL),1200
1373,Nunukan (NNX),Bangpakong (BAK),1805
1374,Nunukan (NNX),Bintulu (BIN),725
1375,Nunukan (NNX),Bangkok (BK),1825
1376,Nunukan (NNX),Bourbon (BOUR),1030
1377,Nunukan (NNX),Bang Sapan (BS),1647
1378,Nunukan (NNX),Godau port  (GDP),1030
1379,Nunukan (NNX),HO CHI MINH (HCM),1000
1380,Nunukan (NNX),Jakarta (JAK),1100
1381,Nunukan (NNX),K.K. Kota Kinabalu (KK),510
1382,Nunukan (NNX),Kemaman (KMN),1220
1383,Nunukan (NNX),Kuantan (KT),1230
1384,Nunukan (NNX),Kuching (KUC),900
1385,Nunukan (NNX),Labuan (LBN),570
1386,Nunukan (NNX),Laem Chabang (LCB),1500
1387,Nunukan (NNX),Malacca (MAL),1380
1388,Nunukan (NNX),Maptaphut (MAT),1460
1389,Nunukan (NNX),Century Harbour (MHI),1530
1390,Nunukan (NNX),Pasir Gudang (PAS),1260
1391,Nunukan (NNX),Port Klang (PKL),1455
1392,Nunukan (NNX),Palembang (PLB),1370
1393,Nunukan (NNX),Penang (PNG),1555
1394,Nunukan (NNX),Panjang (PNJ),1560
1395,Nunukan (NNX),Pontianak (POT),1115
1396,Nunukan (NNX),Singapore (SG),1275
1397,Nunukan (NNX),Sungai Guntung (SGGT),1280
1398,Nunukan (NNX),Songkhla (SK),1400
1399,Nunukan (NNX),Sampit (SMQ),860
1400,Nunukan (NNX),Son Duong (SOD),1255
1401,Nunukan (NNX),Tawau (TAW),40
1402,Nunukan (NNX),Terengganu (TGG),1225
1403,Nunukan (NNX),Tha Sala (TSL),1403
1404,Nunukan (NNX),Vung Tau (VUT),980
1405,Nan Tong (NTG),Bangkok (BK),2290
1406,Oknha Mong Port (OMP),Bangkok (BK),307
1407,Oknha Mong Port (OMP),Godau port  (GDP),446
1408,Oknha Mong Port (OMP),HO CHI MINH (HCM),461
1409,Oknha Mong Port (OMP),Rayong (IRPC),194
1410,Oknha Mong Port (OMP),Ko Sichang (KSI),248
1411,Oknha Mong Port (OMP),Kuantan (KT),439
1412,Oknha Mong Port (OMP),Phumy (PHU),459
1413,Oknha Mong Port (OMP),Port Klang (PKL),850
1414,Oknha Mong Port (OMP),Surat Thanee (SRT),330
1415,Oknha Mong Port (OMP),Vung Tau (VUT),429
1416,Onomichi (ONO),Bangkok (BK),2820
1417,Pasir Gudang (PAS),Bahodopi (BHDP),1560
1418,Pasir Gudang (PAS),Bintulu (BIN),592
1419,Pasir Gudang (PAS),Bangkok (BK),865
1420,Pasir Gudang (PAS),Balikpapan (BPN),1060
1421,Pasir Gudang (PAS),Bang Sapan (BS),722
1422,Pasir Gudang (PAS),Cat Lai (CLI),656
1423,Pasir Gudang (PAS),Cam Pha (CPH),1351
1424,Pasir Gudang (PAS),Dumai (DMI),240
1425,Pasir Gudang (PAS),Dung Quat (DQT),953
1426,Pasir Gudang (PAS),Mawei Fuzhou (FOC),2000
1427,Pasir Gudang (PAS),Futong (FTG),250
1428,Pasir Gudang (PAS),HO CHI MINH (HCM),704
1429,Pasir Gudang (PAS),Hon Gai (HON),1348
1430,Pasir Gudang (PAS),Haiphong (HPH),1353
1431,Pasir Gudang (PAS),Jakarta (JAK),550
1432,Pasir Gudang (PAS),K.K. Kota Kinabalu (KK),802
1433,Pasir Gudang (PAS),Kemaman (KMN),215
1434,Pasir Gudang (PAS),Ko Sichang (KSI),828.5
1435,Pasir Gudang (PAS),Kuantan (KT),216
1436,Pasir Gudang (PAS),Kuching (KUC),449
1437,Pasir Gudang (PAS),KUM,615
1438,Pasir Gudang (PAS),Lahad Datu (LDU),1350
1439,Pasir Gudang (PAS),Lumut (LUM),353
1440,Pasir Gudang (PAS),Malacca (MAL),186
1441,Pasir Gudang (PAS),Maptaphut (MAT),784
1442,Pasir Gudang (PAS),Century Harbour (MHI),857
1443,Pasir Gudang (PAS),Manila Habour (MNL),1350
1444,Pasir Gudang (PAS),Muara (MUR),741
1445,Pasir Gudang (PAS),My Tho (MUT),820
1446,Pasir Gudang (PAS),Nghi Son (NGH),1310
1447,Pasir Gudang (PAS),Nunukan (NNX),1260
1448,Pasir Gudang (PAS),Phumy (PHU),699
1449,Pasir Gudang (PAS),Port Klang (PKL),259.5
1450,Pasir Gudang (PAS),Palembang (PLB),361
1451,Pasir Gudang (PAS),Penang (PNG),453
1452,Pasir Gudang (PAS),Pontianak (POT),352
1453,Pasir Gudang (PAS),Yangon (RGN),1125
1454,Pasir Gudang (PAS),Sandakan (SAN),1012
1455,Pasir Gudang (PAS),Singapore (SG),36
1456,Pasir Gudang (PAS),Sungai Guntung (SGGT),185
1457,Pasir Gudang (PAS),Songkhla (SK),512
1458,Pasir Gudang (PAS),Sampit (SMQ),730
1459,Pasir Gudang (PAS),Semarang - Tanjung Emas (SRG),665
1460,Pasir Gudang (PAS),Surabaya (SUBY),766
1461,Pasir Gudang (PAS),Tacloban (TAC),1490
1462,Pasir Gudang (PAS),Tawau (TAW),1249
1463,Pasir Gudang (PAS),Terengganu (TGG),300
1464,Pasir Gudang (PAS),Tanjung Batu (TJQ),360
1465,Pasir Gudang (PAS),Tanjung Priok (TP),577
1466,Pasir Gudang (PAS),Tha Sala (TSL),565
1467,Pasir Gudang (PAS),Can Tho (VCA),588
1468,Pasir Gudang (PAS),Vung Tau (VUT),669
1469,Plathong Oil Rig (PATO),Laem Chabang (LCB),230
1470,Plathong Oil Rig (PATO),Songkhla (SK),160
1471,Phra Chulachomklao Fort (PCF),Surat Thanee (SRT),275
1472,Port Moresby (PGPOM),Bangkok (BK),3650
1473,Port Moresby (PGPOM),Kuantan (KT),3015
1474,Port Moresby (PGPOM),Laem Chabang (LCB),3591
1475,Port Moresby (PGPOM),Palembang (PLB),2835
1476,Port Moresby (PGPOM),Tanjung Priok (TP),2592
1477,Phumy (PHU),Bangkok (BK),680
1478,Phumy (PHU),Balikpapan (BPN),1330
1479,Phumy (PHU),Bang Sapan (BS),617
1480,Phumy (PHU),Cat Lai (CLI),73
1481,Phumy (PHU),Cam Pha (CPH),831
1482,Phumy (PHU),Dung Quat (DQT),437
1483,Phumy (PHU),Hon Gai (HON),828
1484,Phumy (PHU),Haiphong (HPH),811
1485,Phumy (PHU),Khanom (KHM),590
1486,Phumy (PHU),Kelantan (KLT),424
1487,Phumy (PHU),Kampot (KMP),600
1488,Phumy (PHU),Laem Chabang (LCB),664
1489,Phumy (PHU),Lhokseumawe (LHOK),1180
1490,Phumy (PHU),Maptaphut (MAT),615
1491,Phumy (PHU),Oknha Mong Port (OMP),459
1492,Phumy (PHU),Pasir Gudang (PAS),699
1493,Phumy (PHU),Palembang (PLB),770
1494,Phumy (PHU),Phnom Penh (PNH),225
1495,Phumy (PHU),Pontianak (POT),590
1496,Phumy (PHU),Yangon (RGN),1789
1497,Phumy (PHU),Singapore (SG),640
1498,Phumy (PHU),Steung Hav (SHV),459
1499,Phumy (PHU),Son Duong (SOD),677
1500,Phumy (PHU),Can Tho (VCA),150
1501,Phumy (PHU),Vung Tau (VUT),30
1502,Port Klang (PKL),Bahodopi (BHDP),1770
1503,Port Klang (PKL),Bintulu (BIN),882
1504,Port Klang (PKL),Bangkok (BK),1070
1505,Port Klang (PKL),Balikpapan (BPN),1275
1506,Port Klang (PKL),Belawan (BRW),316
1507,Port Klang (PKL),Bang Sapan (BS),925
1508,Port Klang (PKL),Cat Lai (CLI),864
1509,Port Klang (PKL),Cam Pha (CPH),1551
1510,Port Klang (PKL),Dumai (DMI),170
1511,Port Klang (PKL),Dung Quat (DQT),1160
1512,Port Klang (PKL),Futong (FTG),250
1513,Port Klang (PKL),Hon Gai (HON),1548
1514,Port Klang (PKL),Haiphong (HPH),1556
1515,Port Klang (PKL),Jakarta (JAK),1000
1516,Port Klang (PKL),K.K. Kota Kinabalu (KK),1005
1517,Port Klang (PKL),Kedah (KKH),210
1518,Port Klang (PKL),Kemaman (KMN),435
1519,Port Klang (PKL),Ko Sichang (KSI),1039
1520,Port Klang (PKL),Kuantan (KT),428
1521,Port Klang (PKL),Kantang (KTG),305
1522,Port Klang (PKL),Kuching (KUC),658
1523,Port Klang (PKL),KUM,820
1524,Port Klang (PKL),Laem Chabang (LCB),1042
1525,Port Klang (PKL),Lahad Datu (LDU),1550
1526,Port Klang (PKL),Lhokseumawe (LHOK),350
1527,Port Klang (PKL),Lumut (LUM),103
1528,Port Klang (PKL),Malacca (MAL),90
1529,Port Klang (PKL),Maptaphut (MAT),980
1530,Port Klang (PKL),Century Harbour (MHI),1077
1531,Port Klang (PKL),Manila Habour (MNL),1565
1532,Port Klang (PKL),My Tho (MUT),840
1533,Port Klang (PKL),Nghi Son (NGH),1512
1534,Port Klang (PKL),Nunukan (NNX),1455
1535,Port Klang (PKL),Oknha Mong Port (OMP),850
1536,Port Klang (PKL),Pasir Gudang (PAS),259.5
1537,Port Klang (PKL),Palembang (PLB),700
1538,Port Klang (PKL),Penang (PNG),170
1539,Port Klang (PKL),Panjang (PNJ),795
1540,Port Klang (PKL),Pontianak (POT),569
1541,Port Klang (PKL),Yangon (RGN),947
1542,Port Klang (PKL),Sandakan (SAN),1413
1543,Port Klang (PKL),Singapore (SG),208
1544,Port Klang (PKL),Sungai Guntung (SGGT),402
1545,Port Klang (PKL),Songkhla (SK),705
1546,Port Klang (PKL),Sampit (SMQ),920
1547,Port Klang (PKL),Son Duong (SOD),1395
1548,Port Klang (PKL),Semarang - Tanjung Emas (SRG),870
1549,Port Klang (PKL),Tacloban (TAC),1690
1550,Port Klang (PKL),Tawau (TAW),1691
1551,Port Klang (PKL),Terengganu (TGG),104
1552,Port Klang (PKL),Tanjung Batu (TJQ),565
1553,Port Klang (PKL),Tha Sala (TSL),780
1554,Port Klang (PKL),Can Tho (VCA),798
1555,PAKAN Baru (PKRU),Bangkok (BK),99
1556,PAKAN Baru (PKRU),Belawan (BRW),722
1557,PAKAN Baru (PKRU),Kuantan (KT),99
1558,PAKAN Baru (PKRU),Kuching (KUC),99
1559,PAKAN Baru (PKRU),Songkhla (SK),730
1560,Palembang (PLB),Bahodopi (BHDP),1410
1561,Palembang (PLB),Bintulu (BIN),675
1562,Palembang (PLB),Bangkok (BK),1110
1563,Palembang (PLB),Belawan (BRW),750
1564,Palembang (PLB),Dumai (DMI),670
1565,Palembang (PLB),Futong (FTG),310
1566,Palembang (PLB),KUM,1458
1567,Palembang (PLB),Haiphong (HPH),1552
1568,Palembang (PLB),Jakarta (JAK),460
1569,Palembang (PLB),Kemaman (KMN),480
1570,Palembang (PLB),Ko Sichang (KSI),1100
1571,Palembang (PLB),Kuantan (KT),465
1572,Palembang (PLB),Kuching (KUC),548
1573,Palembang (PLB),Labuan (LBN),1124
1574,Palembang (PLB),Lahad Datu (LDU),1480
1575,Palembang (PLB),Malacca (MAL),446
1576,Palembang (PLB),Manila Habour (MNL),1550
1577,Palembang (PLB),My Tho (MUT),860
1578,Palembang (PLB),Nunukan (NNX),1370
1579,Palembang (PLB),Pasir Gudang (PAS),361
1580,Palembang (PLB),Port Moresby (PGPOM),2835
1581,Palembang (PLB),Phumy (PHU),770
1582,Palembang (PLB),Port Klang (PKL),700
1583,Palembang (PLB),Pontianak (POT),372
1584,Palembang (PLB),Sandakan (SAN),1338
1585,Palembang (PLB),Semarang - Tanjung Emas (SRG),500
1586,Palembang (PLB),Surabaya (SUBY),700
1587,Palembang (PLB),Tacloban (TAC),1620
1588,Palembang (PLB),Terengganu (TGG),560
1589,Palembang (PLB),Tanjung Batu (TJQ),240
1590,Palembang (PLB),Tanjung Priok (TP),490
1591,Penang (PNG),Bahodopi (BHDP),1920
1592,Penang (PNG),Bangkok (BK),1258
1593,Penang (PNG),Jakarta (JAK),1200
1594,Penang (PNG),K.K. Kota Kinabalu (KK),1171
1595,Penang (PNG),Kemaman (KMN),608
1596,Penang (PNG),Kuantan (KT),612
1597,Penang (PNG),Kantang (KTG),150
1598,Penang (PNG),KUM,980
1599,Penang (PNG),Malacca (MAL),252
1600,Penang (PNG),Century Harbour (MHI),1256
1601,Penang (PNG),Manila Habour (MNL),1770
1602,Penang (PNG),Nunukan (NNX),1555
1603,Penang (PNG),Pasir Gudang (PAS),453
1604,Penang (PNG),Port Klang (PKL),170
1605,Penang (PNG),Palembang (PLB),638
1606,Penang (PNG),Panjang (PNJ),954
1607,Penang (PNG),Pontianak (POT),750
1608,Penang (PNG),Pontianak (POT),728
1609,Penang (PNG),Yangon (RGN),910
1610,Penang (PNG),Songkhla (SK),904
1611,Penang (PNG),Sampit (SMQ),1080
1612,Penang (PNG),Son Duong (SOD),1567
1613,Penang (PNG),Semarang - Tanjung Emas (SRG),970
1614,Penang (PNG),Tacloban (TAC),1840
1615,Penang (PNG),Terengganu (TGG),680
1616,Penang (PNG),Tanjung Batu (TJQ),660
1617,Penang (PNG),Tanjung Priok (TP),918
1618,Penang (PNG),Tha Sala (TSL),980
1619,Phnom Penh (PNH),Bangkok (BK),845
1620,Phnom Penh (PNH),Kuantan (KT),640
1621,Phnom Penh (PNH),Maptaphut (MAT),733
