id,sourcePort,destinationPort,distance
173,Bangkok (BK),Kelantan (KLT),475
174,Bangkok (BK),Kemaman (KMN),650
175,Bangkok (BK),Kampot (KMP),334
176,Bangkok (BK),Ko Sichang (KSI),60
177,Bangkok (BK),Kor Samui (KSM),268
178,Bangkok (BK),Kuantan (KT),680
179,Bangkok (BK),Kantang (KTG),1399
180,Bangkok (BK),Kuching (KUC),1088
181,Bangkok (BK),KUM,1360
182,Bangkok (BK),Labuan (LBN),1393
183,Bangkok (BK),Laem Chabang (LCB),65
184,Bangkok (BK),Lahad Datu (LDU),1670
185,Bangkok (BK),Lumut (LUM),1207
186,Bangkok (BK),Makassar (MAK),1855
187,Bangkok (BK),Malacca (MAL),986
188,Bangkok (BK),Maptaphut (MAT),123
189,Bangkok (BK),Century Harbour (MHI),60
190,Bangkok (BK),Maeklong (Firesun) (MKG),74
191,Bangkok (BK),Manila Habour (MNL),1935
192,Bangkok (BK),Manila Habour (MNL),1590
193,Bangkok (BK),Marunda (MRD),1321
194,Bangkok (BK),Muara (MUR),1249
195,Bangkok (BK),My Tho (MUT),765
196,Bangkok (BK),Ningde (NDE),2090
197,Bangkok (BK),Nghi Son (NGH),1356
198,Bangkok (BK),Nunukan (NNX),1825
199,Bangkok (BK),Nan Tong (NTG),2290
200,Bangkok (BK),Oknha Mong Port (OMP),307
201,Bangkok (BK),Onomichi (ONO),2820
202,Bangkok (BK),Pasir Gudang (PAS),865
203,Bangkok (BK),Port Moresby (PGPOM),3650
204,Bangkok (BK),Phumy (PHU),680
205,Bangkok (BK),Port Klang (PKL),1070
206,Bangkok (BK),PAKAN Baru (PKRU),1100
207,Bangkok (BK),Palembang (PLB),1110
208,Bangkok (BK),Penang (PNG),1258
209,Bangkok (BK),Phnom Penh (PNH),845
210,Bangkok (BK),Panjang (PNJ),1405
211,Bangkok (BK),Poso (POSO),2170
212,Bangkok (BK),Pontianak (POT),1075
213,Bangkok (BK),Quy Nhon (QNN),932
214,Bangkok (BK),Yangon (RGN),1960
215,Bangkok (BK),Sandakan (SAN),1595
216,Bangkok (BK),Singapore (SG),850
217,Bangkok (BK),Sungai Guntung (SGGT),960
218,Bangkok (BK),Steung Hav (SHV),298
219,Bangkok (BK),Sibu (SIB),1134
220,Bangkok (BK),Srihanoville (SIH),286
221,Bangkok (BK),Sipitang (SIP),1352
222,Bangkok (BK),Songkhla (SK),420
223,Bangkok (BK),Sampit (SMQ),1490
224,Bangkok (BK),Son Duong (SOD),1264
225,Bangkok (BK),Sriracha Harbor (SRC),60
226,Bangkok (BK),Semarang - Tanjung Emas (SRG),1420
227,Bangkok (BK),Sarekei (SRK),1132
228,Bangkok (BK),Surat Thanee (SRT),296
229,Bangkok (BK),Sarawak (SRW),980
230,Bangkok (BK),Surabaya (SUBY),1545
231,Bangkok (BK),Tacloban (TAC),1760
232,Bangkok (BK),Tagbilaran (TAG),1933
233,Bangkok (BK),Tarjun (TAR),1630
234,Bangkok (BK),Tawau (TAW),1820
235,Bangkok (BK),Terengganu (TGG),592
236,Bangkok (BK),Tanjong Manis (TGM),1095
237,Bangkok (BK),Tanjung Batu (TJQ),1100
238,Bangkok (BK),Tanjung Priok (TP),1320
239,Bangkok (BK),Tha Sala (TSL),326
240,Bangkok (BK),Tsukumi (TSUM),2710
241,Bangkok (BK),Ranong (UNN),1550
242,Bangkok (BK),Vung Ang (VAG),1556
243,Bangkok (BK),Can Tho (VCA),605
244,Bangkok (BK),Vung Tau (VUT),650
245,Bourbon (BOUR),Bahodopi (BHDP),1970
246,Bourbon (BOUR),Dumai (DMI),820
247,Bourbon (BOUR),Lahad Datu (LDU),1150
248,Bourbon (BOUR),Manila Habour (MNL),970
249,Bourbon (BOUR),My Tho (MUT),90
250,Bourbon (BOUR),Nunukan (NNX),1030
251,Bourbon (BOUR),Semarang - Tanjung Emas (SRG),1125
252,Bourbon (BOUR),Tanjung Batu (TJQ),840
253,Balikpapan (BPN),Bangpakong (BAK),1800
254,Balikpapan (BPN),Bintulu (BIN),1056
255,Balikpapan (BPN),Bangkok (BK),1815
256,Balikpapan (BPN),Bang Sapan (BS),1685
257,Balikpapan (BPN),Godau port  (GDP),1320
258,Balikpapan (BPN),HO CHI MINH (HCM),1345
259,Balikpapan (BPN),Kemaman (KMN),1185
260,Balikpapan (BPN),Kuantan (KT),1170
261,Balikpapan (BPN),Kuching (KUC),1053
262,Balikpapan (BPN),Labuan (LBN),864
263,Balikpapan (BPN),Maptaphut (MAT),1756
264,Balikpapan (BPN),Century Harbour (MHI),1805
265,Balikpapan (BPN),Pasir Gudang (PAS),1060
266,Balikpapan (BPN),Phumy (PHU),1330
267,Balikpapan (BPN),Port Klang (PKL),1275
268,Balikpapan (BPN),Pontianak (POT),842
269,Balikpapan (BPN),Songkhla (SK),1490
270,Balikpapan (BPN),Son Duong (SOD),1580
271,Balikpapan (BPN),Tawau (TAW),418
272,Balikpapan (BPN),Terengganu (TGG),854
273,Balikpapan (BPN),TJM,1090
274,Balikpapan (BPN),Tha Sala (TSL),1568
275,Balikpapan (BPN),Vung Tau (VUT),1300
276,Brunei (BRU),Bangkok (BK),1327
277,Brunei (BRU),Songkhla (SK),900
278,Brunei (BRU),Tawau (TAW),584
279,Belawan (BRW),Bangkok (BK),1230
280,Belawan (BRW),Fangcheng (FAN),1750
281,Belawan (BRW),Kuantan (KT),582
282,Belawan (BRW),Kuching (KUC),813
283,Belawan (BRW),Port Klang (PKL),316
284,Belawan (BRW),PAKAN Baru (PKRU),722
285,Belawan (BRW),Palembang (PLB),750
286,Belawan (BRW),Pontianak (POT),720
287,Belawan (BRW),Songkhla (SK),867
288,Bang Sapan (BS),Bangpakong (BAK),162
289,Bang Sapan (BS),Bahodopi (BHDP),2140
290,Bang Sapan (BS),Bintulu (BIN),1039
291,Bang Sapan (BS),Bangkok (BK),178
292,Bang Sapan (BS),Balikpapan (BPN),1685
293,Bang Sapan (BS),Cayagan de Oro City (Macabalan wharf) (CDO),1820
294,Bang Sapan (BS),Cat Lai (CLI),622
295,Bang Sapan (BS),Cam Pha (CPH),1413
296,Bang Sapan (BS),Dumai (DMI),890
